Step Nr.;Time[fs];Kin.[a.u.];Temp[K];Pot.[a.u.];Cons Qty[a.u.];UsedTime[s]
252.0;126.0;0.001413972;49.61073424;-23.506443353;-23.505519035;35.262497221
253.0;126.5;0.001516144;53.195535214;-23.506525175;-23.505514931;35.332989219
254.0;127.0;0.001759129;61.720913167;-23.506786492;-23.505515306;41.579379936
255.0;127.5;0.002172208;76.214229108;-23.507184102;-23.505519929;35.818440619
256.0;128.0;0.002648272;92.917453296;-23.50761159;-23.505526338;35.821955065
257.0;128.5;0.002996865;105.148232191;-23.507929992;-23.50553065;35.334700853
258.0;129.0;0.00309262;108.507890812;-23.508025873;-23.50552966;35.403321354
259.0;129.5;0.002926086;102.664878504;-23.507874419;-23.505522712;35.790973098
260.0;130.0;0.002639132;92.596779681;-23.507546726;-23.505512019;43.074187128
261.0;130.5;0.002272051;79.717347181;-23.507174004;-23.505501642;36.109966176
262.0;131.0;0.001992467;69.907835316;-23.506887479;-23.505495578;41.741158048
263.0;131.5;0.001870954;65.644444232;-23.506758787;-23.505495291;35.250323768
264.0;132.0;0.001917194;67.266820229;-23.506775358;-23.505499555;35.5928006
265.0;132.5;0.001968597;69.070341458;-23.506858257;-23.505505266;35.493781874
266.0;133.0;0.002008314;70.463853213;-23.506908319;-23.505509229;35.860016026
267.0;133.5;0.001960262;68.777892165;-23.506853977;-23.505509432;35.848446342
268.0;134.0;0.001775105;62.281471198;-23.506681455;-23.505505433;35.489246115
269.0;134.5;0.001497374;52.536962096;-23.506443391;-23.505498191;35.38467159
270.0;135.0;0.001305958;45.820949252;-23.506231589;-23.5054898;42.732536649
271.0;135.5;0.001207214;42.356388357;-23.506149421;-23.505483096;40.869956353
272.0;136.0;0.001341813;47.078940199;-23.506267216;-23.505480601;35.631785734
273.0;136.5;0.001671385;58.642343844;-23.506583281;-23.505483019;35.599955047
274.0;137.0;0.002086818;73.218242226;-23.507016823;-23.505488765;35.418677612
275.0;137.5;0.002515625;88.263407719;-23.507432846;-23.505494416;35.90480441
276.0;138.0;0.002820766;98.969610644;-23.50769795;-23.505496296;35.536551205
277.0;138.5;0.002843166;99.755518112;-23.507740218;-23.505492508;35.418887215
278.0;139.0;0.002722524;95.522657983;-23.507583874;-23.505484277;35.588482445
279.0;139.5;0.002495001;87.539791221;-23.507329421;-23.505475161;35.354507289
280.0;140.0;0.002255859;79.149233234;-23.507102824;-23.505469387;47.186862384
281.0;140.5;0.002160786;75.813501388;-23.506986392;-23.50546918;35.74666094
282.0;141.0;0.002098212;73.618009653;-23.506989422;-23.505473767;35.430015781
283.0;141.5;0.002129049;74.69994897;-23.507052314;-23.505480383;35.572000896
284.0;142.0;0.002186154;76.703558128;-23.507088085;-23.505485984;35.190058317
285.0;142.5;0.002083463;73.100538854;-23.507026438;-23.505488488;35.812266064
286.0;143.0;0.001923701;67.495099384;-23.506845061;-23.505487398;35.637671359
287.0;143.5;0.001655;58.067442857;-23.506581684;-23.505483399;35.715677067
288.0;144.0;0.001376151;48.283722969;-23.506317454;-23.505478143;35.249877784
289.0;144.5;0.001213377;42.572649127;-23.506152662;-23.505473917;35.295128863
290.0;145.0;0.00123752;43.419727637;-23.506161513;-23.505472818;41.873899804
291.0;145.5;0.001421446;49.872946689;-23.50636824;-23.505476081;36.238882334
292.0;146.0;0.001789616;62.790597434;-23.506727698;-23.505482992;35.32063144
293.0;146.5;0.002202668;77.282953725;-23.507134082;-23.50549125;35.737777869
294.0;147.0;0.002478411;86.957714066;-23.507465984;-23.505497728;35.618410889
295.0;147.5;0.002659014;93.294348034;-23.507632251;-23.505499963;35.241119502
296.0;148.0;0.002674453;93.836060293;-23.507616321;-23.505497467;35.854656867
297.0;148.5;0.002576226;90.389660349;-23.507473973;-23.505492401;35.344154328
298.0;149.0;0.002358418;82.747621351;-23.50730832;-23.505488534;35.227343258
299.0;149.5;0.002240761;78.619516108;-23.507214551;-23.505489067;35.424863145
300.0;150.0;0.002206084;77.40280756;-23.507226131;-23.505494556;42.242087002
301.0;150.5;0.002254918;79.11621525;-23.507305648;-23.505503032;35.646686653
302.0;151.0;0.00235095;82.485615841;-23.507372064;-23.505511311;35.84952862
303.0;151.5;0.002352448;82.53816697;-23.5073447;-23.505516866;35.161605946
304.0;152.0;0.002225686;78.090588341;-23.507180905;-23.505518363;35.443886569
305.0;152.5;0.001950891;68.449098718;-23.50689638;-23.505515817;35.583999367
306.0;153.0;0.001649717;57.882091742;-23.506556786;-23.505510661;36.138872343
307.0;153.5;0.001357217;47.619421101;-23.506259506;-23.505504897;35.749277142
308.0;154.0;0.001218921;42.767134843;-23.506099155;-23.505500602;35.450285624
309.0;154.5;0.001286806;45.148976516;-23.506131468;-23.505499416;35.319582176
310.0;155.0;0.001491748;52.339571691;-23.506349847;-23.505501489;41.829515956
311.0;155.5;0.001831185;64.249090629;-23.506682194;-23.505505445;35.646143993
312.0;156.0;0.002180502;76.505266975;-23.507021881;-23.505508622;36.123899864
313.0;156.5;0.002438045;85.54143163;-23.507263745;-23.505508293;35.71054744
314.0;157.0;0.002531707;88.827640309;-23.5073574;-23.50550329;35.613192141
315.0;157.5;0.002560278;89.830100889;-23.507323283;-23.505494633;35.06810473
316.0;158.0;0.002494483;87.521598456;-23.507242706;-23.505485555;35.417457752
317.0;158.5;0.002459485;86.293653432;-23.507211635;-23.50547984;35.641832494
318.0;159.0;0.002498166;87.650831463;-23.507281709;-23.505479356;35.933179785
319.0;159.5;0.002681742;94.091803821;-23.507431755;-23.505482939;36.134742293
320.0;160.0;0.002857563;100.260672373;-23.507581877;-23.505487515;41.889027854
321.0;160.5;0.002866618;100.578350545;-23.507638638;-23.505489959;35.00345165
322.0;161.0;0.00280154;98.295037554;-23.507541937;-23.505488533;35.284896658
323.0;161.5;0.002501167;87.756125459;-23.507291226;-23.505483172;35.238127694
324.0;162.0;0.002170494;76.154119437;-23.506946242;-23.505475298;35.102283501
325.0;162.5;0.001788007;62.734143209;-23.50660416;-23.505467006;35.331804099
326.0;163.0;0.001552915;54.485683763;-23.506351978;-23.505459939;35.809453578
327.0;163.5;0.001399099;49.088892959;-23.506259605;-23.505455775;41.897738858
328.0;164.0;0.001465715;51.426177171;-23.506341346;-23.505454976;35.868913708
329.0;164.5;0.001671313;58.639792429;-23.506555714;-23.505456674;35.4057508
330.0;165.0;0.001930075;67.718736317;-23.50682058;-23.505459115;41.048615295
331.0;165.5;0.002149396;75.413852964;-23.507042042;-23.505460085;35.575613399
332.0;166.0;0.002271948;79.713721458;-23.507156687;-23.505457876;35.070690563
333.0;166.5;0.002257269;79.19871872;-23.507156526;-23.505452233;35.603379998
334.0;167.0;0.002236958;78.486067959;-23.507098666;-23.505445093;35.258225504
335.0;167.5;0.002226995;78.136493564;-23.507070275;-23.505439861;35.292973425
336.0;168.0;0.002273177;79.756855968;-23.507140193;-23.505439445;35.29168003
337.0;168.5;0.002459042;86.278108467;-23.507315511;-23.50544446;35.111457421
338.0;169.0;0.002691695;94.441011057;-23.507535814;-23.505452644;35.343806544
339.0;169.5;0.002801095;98.279423841;-23.507698654;-23.505460297;35.682234131
340.0;170.0;0.002845618;99.841568952;-23.507716171;-23.505464623;41.479270019
341.0;170.5;0.002705837;94.937205714;-23.507557741;-23.505464723;35.797845447
